ID,Name,Age,Nationality,Overall,Potential,Club,Preferred Foot
158023,L. Messi,31,Argentina,94,94,FC Barcelona,Left
20801,Cristiano Ronaldo,33,Portugal,94,94,Juventus,Right
190871,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,Right
193080,De Gea,27,Spain,91,93,Manchester United,Right
192985,K. De Bruyne,27,Belgium,91,92,Manchester City,Right
183277,E. Hazard,27,Belgium,91,91,Chelsea,Right
177003,L. Modrić,32,Croatia,91,91,Real Madrid,Right
176580,L. Suárez,31,Uruguay,91,91,FC Barcelona,Right
155862,Sergio Ramos,32,Spain,91,91,Real Madrid,Right
200389,J. Oblak,25,Slovenia,90,93,Atlético Madrid,Right
188545,R. Lewandowski,29,Poland,90,90,FC Bayern München,Right
182521,T. Kroos,28,Germany,90,90,Real Madrid,Right
182493,D. Godín,32,Uruguay,90,90,Atlético Madrid,Right
168542,David Silva,32,Spain,90,90,Manchester City,Left
215914,N. Kanté,27,France,89,90,Chelsea,Right
211110,P. Dybala,24,Argentina,89,94,Juventus,Left
202126,H. Kane,24,England,89,91,Tottenham Hotspur,Right
194765,A. Griezmann,27,France,89,90,Atlético Madrid,Left
192448,M. ter Stegen,26,Germany,89,92,FC Barcelona,Right
192119,T. Courtois,26,Belgium,89,90,Real Madrid,Left
189511,Sergio Busquets,29,Spain,89,89,FC Barcelona,Right
179813,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,Right
167495,M. Neuer,32,Germany,89,89,FC Bayern München,Right
153079,S. Agüero,30,Argentina,89,89,Manchester City,Right
138956,G. Chiellini,33,Italy,89,89,Juventus,Left
231747,K. Mbappé,19,France,88,95,Paris Saint-Germain,Right
209331,M. Salah,26,Egypt,88,89,Liverpool,Left
200145,Casemiro,26,Brazil,88,90,Real Madrid,Right
198710,J. Rodríguez,26,Colombia,88,89,FC Bayern München,Left
198219,L. Insigne,27,Italy,88,88,Napoli,Right
197781,Isco,26,Spain,88,91,Real Madrid,Right
190460,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,Right
189242,Coutinho,26,Brazil,88,89,FC Barcelona,Right
188567,P. Aubameyang,29,Gabon,88,88,Arsenal,Right
178603,M. Hummels,29,Germany,88,88,FC Bayern München,Right
176676,Marcelo,30,Brazil,88,88,Real Madrid,Left
173731,G. Bale,28,Wales,88,88,Real Madrid,Left
167948,H. Lloris,31,France,88,88,Tottenham Hotspur,Left
167664,G. Higuaín,30,Argentina,88,88,Milan,Right
164240,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,Right
162835,S. Handanovič,33,Slovenia,88,88,Inter,Right
1179,G. Buffon,40,Italy,88,88,Paris Saint-Germain,Right
205600,S. Umtiti,24,France,87,92,FC Barcelona,Left
201399,M. Icardi,25,Argentina,87,90,Inter,Right
201024,K. Koulibaly,27,Senegal,87,90,Napoli,Right
195864,P. Pogba,25,France,87,91,Manchester United,Right
193041,K. Navas,31,Costa Rica,87,87,Real Madrid,Right
192505,R. Lukaku,25,Belgium,87,89,Manchester United,Left
192387,C. Immobile,28,Italy,87,87,Lazio,Right
189332,Jordi Alba,29,Spain,87,87,FC Barcelona,Left
175943,D. Mertens,31,Belgium,87,87,Napoli,Right
172871,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,Left
171877,M. Hamšík,30,Slovakia,87,87,Napoli,Right
168651,I. Rakitić,30,Croatia,87,87,FC Barcelona,Right
152729,Piqué,31,Spain,87,87,FC Barcelona,Right
222492,L. Sané,22,Germany,86,92,Manchester City,Left
218667,Bernardo Silva,23,Portugal,86,91,Manchester City,Left
210257,Ederson,24,Brazil,86,90,Manchester City,Left
208722,S. Mané,26,Senegal,86,87,Liverpool,Right
203376,V. van Dijk,26,Netherlands,86,88,Liverpool,Right
202652,R. Sterling,23,England,86,89,Manchester City,Right
201942,Roberto Firmino,26,Brazil,86,87,Liverpool,Right
201535,R. Varane,25,France,86,91,Real Madrid,Right
199556,M. Verratti,25,Italy,86,89,Paris Saint-Germain,Right
191043,Alex Sandro,27,Brazil,86,86,Juventus,Left
190483,Douglas Costa,27,Brazil,86,86,Juventus,Left
189596,T. Müller,28,Germany,86,86,FC Bayern München,Right
189509,Thiago,27,Spain,86,86,FC Bayern München,Right
188350,M. Reus,29,Germany,86,86,Borussia Dortmund,Right
184432,Azpilicueta,28,Spain,86,86,Chelsea,Right
184344,L. Bonucci,31,Italy,86,86,Juventus,Right
184087,T. Alderweireld,29,Belgium,86,87,Tottenham Hotspur,Right
180206,M. Pjanić,28,Bosnia Herzegovina,86,86,Juventus,Right
177509,M. Benatia,31,Morocco,86,86,Juventus,Right
176635,M. Özil,29,Germany,86,86,Arsenal,Left
135507,Fernandinho,33,Brazil,86,86,Manchester City,Right
41,Iniesta,34,Spain,86,86,Vissel Kobe,Right
232363,M. Škriniar,23,Slovakia,85,92,Inter,Right
223848,S. Milinković-Savić,23,Serbia,85,90,Lazio,Right
220834,Marco Asensio,22,Spain,85,92,Real Madrid,Left
216594,N. Fekir,24,France,85,89,Olympique Lyonnais,Left
